ArtistAndTitle,Streams,Daily
Danny Ocean - Me Rehúso,1786422474,720082
Twenty One Pilots - Heathens,1785218331,892995
Sia - Cheap Thrills,1782512014,394061
TOTO - Africa,1772132894,1266883
Michael Jackson - Billie Jean,1769374894,1198889
Gotye - Somebody That I Used To Know,1760964943,963515
Ed Sheeran - Bad Habits,1759174153,556070
Calvin Harris - This Is What You Came For,1757726589,1275257
Dean Lewis - Be Alright,1755176904,643829
The Weeknd - I Feel It Coming,1754893655,666128
The Weeknd - Can't Feel My Face,1753081587,651774
Luis Fonsi - Despacito (Featuring Daddy Yankee),1751773166,548146
benny blanco - Eastside,1741236839,526485
Manuel Turizo - La Bachata,1738350584,2081302
"Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",1737656202,521048
Sia - Chandelier,1736492798,833695
Twenty One Pilots - Ride,1734904736,1084298
Linkin Park - Numb,1733197159,1438412
Adele - Easy On Me,1730054611,
Alec Benjamin - Let Me Down Slowly,1720147291,1104499
J Balvin - LA CANCIÓN,1715745628,1123469
Luis Fonsi - Despacito,1715681327,286823
The Goo Goo Dolls - Iris,1703242496,1674260
WALK THE MOON - Shut Up and Dance,1702487096,1412713
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",1700499702,739803
Arctic Monkeys - Why'd You Only Call Me When You're High?,1698370179,1032702
Jung Kook - Seven,1694338994,2166110
ZAYN - Dusk Till Dawn,1694248984,745430
Eminem - Mockingbird,1693388273,1376140
Coolio - Gangsta's Paradise,1690888835,1337605
Maroon 5 - Maps,1687227627,1231446
Post Malone - Wow.,1685446171,574662
Conan Gray - Heather,1684280216,986307
Harry Styles - Adore You,1679357025,987935
Ava Max - Sweet but Psycho,1675728184,823605
Arctic Monkeys - 505,1673562582,1418933
David Guetta - I’m Good (Blue),1673079390,1750991
The Weeknd - Earned It (Fifty Shades Of Grey),1672791099,631228
Don Omar - Danza Kuduro,1671549622,1802495
OMI - Cheerleader (Felix Jaehn Remix),1671495704,1018577
Radiohead - Creep,1670230000,1124308
Fleetwood Mac - Dreams,1669658178,1185582
The White Stripes - Seven Nation Army,1669648777,1417235
Rihanna - We Found Love,1667862537,1448914
ZAYN - I Don’t Wanna Live Forever (Fifty Shades Darker),1667414771,577490
Tears For Fears - Everybody Wants To Rule The World,1663604466,1384689
Christina Perri - a thousand years,1662031213,778424
Powfu - death bed (coffee for your head),1661004916,520940
Tame Impala - The Less I Know The Better,1653865873,1137983
Maroon 5 - Girls Like You,1652663074,288706
Kendrick Lamar - All The Stars,1650536779,1431333
Shakira - Hips Don't Lie,1643567970,1688952
DaBaby - ROCKSTAR,1641234060,300555
Post Malone - I Fall Apart,1641024266,307522
David Guetta - Titanium,1640430108,714712
Travis Scott - HIGHEST IN THE ROOM,1632947871,914507
Drake - Passionfruit,1631296662,674256
"Tyler, The Creator - See You Again",1630856260,2057080
DNCE - Cake By The Ocean,1629108081,652079
Cardi B - I Like It,1627815715,433648
XXXTENTACION - Fuck Love,1624177351,954026
Billie Eilish - everything i wanted,1622908628,648016
OneRepublic - I Ain't Worried,1622147480,1785016
Queen - Under Pressure,1621949797,891628
Juice WRLD - All Girls Are The Same,1621662091,676483
Childish Gambino - Redbone,1620283752,584288
Justin Bieber - Peaches,1616707776,559649
Olivia Rodrigo - deja vu,1616371492,1033079
Doja Cat - Woman,1615702548,1167902
Eagles - Hotel California,1611276357,871459
Måneskin - Beggin',1609880937,1004293
Trevor Daniel - Falling,1609527751,392306
"Earth, Wind & Fire - September",1608846896,1408779
Panic! At The Disco - High Hopes,1607792219,653528
Bon Jovi - Livin' On A Prayer,1605179691,1000052
Adele - Set Fire to the Rain,1604979892,1063835
Champs United - Danza Kuduro,1604681792,1399647
Justin Bieber - What Do You Mean?,1604363473,542701
Future - Mask Off,1603282908,747770
AC/DC - Highway to Hell,1601703038,1459095
Marshmello - Silence,1598910294,739212
XXXTENTACION - Everybody Dies In Their Nightmares,1597558436,658872
Justin Bieber - Ghost,1596984091,1179958
Miley Cyrus - Party In The U.S.A.,1596464341,1118769
Bastille - Pompeii,1596132879,694792
Creedence Clearwater Revival - Have You Ever Seen The Rain,1595191431,1682848
Dua Lipa - IDGAF,1585950850,336414
Olivia Rodrigo - traitor,1574695714,985380
Ed Sheeran - Shivers,1574674323,751032
Ruth B. - Dandelions,1574432416,1428029
MUSIC LAB JPN - Cake By The Ocean,1574355644,720197
DJ Snake - Taki Taki,1573247886,354610
Taylor Swift - Anti-Hero,1572352646,1016866
Sam Smith - Unholy,1563192992,788136
Beyoncé - Halo,1562218257,674125
One Direction - Night Changes,1561855229,1440704
White Noise Baby Sleep - Clean White Noise,1561402361,395578
The Weeknd - Save Your Tears,1557212171,934308
Adele - Hello,1553739381,356937
Keane - Somewhere Only We Know,1551332098,1434646
AC/DC - Back In Black,1551012875,1149970
Major Lazer - Cold Water,1548171910,428168
Rihanna - Umbrella,1544531491,
MUSIC LAB JPN - Danza Kuduro,1544505915,1285590
Eminem - Love The Way You Lie,1541338956,1025144
Harry Styles - Sign of the Times,1537914740,582273
Ellie Goulding - Love Me Like You Do,1535935873,330590
Anne-Marie - 2002,1535094936,402672
Clean Bandit - Rockabye,1533545424,650838
Khalid - Young Dumb & Broke,1532898655,642247
DJ MIX NON-STOP CHANNEL - Danza Kuduro,1532301108,1258823
Lil Nas X - Old Town Road,1529351174,238690
"Train - Hey, Soul Sister",1527969370,1327042
Bad Bunny - Tití Me Preguntó,1520531913,717257
Post Malone - Psycho,1520221448,263241
Offset - Ric Flair Drip,1517123140,1276299
50 Cent - In Da Club,1511809040,1067386
Imagine Dragons - Enemy,1509865894,850747
Calvin Harris - Summer,1508741740,1368431
Imagine Dragons - Enemy feat. J.I.D. (from the series Arcane League of Legends),1508172316,831154
Zedd - The Middle,1506494291,370947
AC/DC - Thunderstruck,1506437480,1248214
Wham! - Last Christmas,1506088195,108114
Farruko - Pepas,1505447402,593016
Coldplay - A Sky Full of Stars,1504071029,1548705
KAROL G - Tusa,1500530920,390527
The Starlite Singers - Party In The U.S.A.,1498183157,1069631
MAGIC! - Rude,1494377543,1185091
Lil Baby - Drip Too Hard (Lil Baby & Gunna),1492001443,595282
Rihanna - Needed Me,1489897207,736512
Rihanna - Love On The Brain,1487460902,866292
Kendrick Lamar - Money Trees,1486786642,1281963
Pitbull - Timber,1486618932,1148487
J Balvin - Mi Gente,1482227790,451175
Arizona Zervas - ROXANNE,1477275347,241313
NF - Let You Down,1475997952,424790
Ariana Grande - One Last Time,1472978488,779902
Coldplay - Fix You,1471028281,731245
Maroon 5 - Moves Like Jagger,1470839034,1116559
Milky Chance - Stolen Dance,1468033876,822550
Eminem - Godzilla,1464376177,899187
Clean Bandit - Symphony,1461156768,485653
Martin Garrix - In the Name of Love,1456538405,499030
Lana Del Rey - Summertime Sadness,1455841447,1470725
Bad Bunny - Callaita,1453202471,541923
Katy Perry - Dark Horse,1452288082,705323
XXXTENTACION - Hope,1450412681,827386
The Script - Hall of Fame,1447706088,1038925
The Neighbourhood - Daddy Issues,1445358637,1097496
Tate McRae - you broke me first,1444720007,580769
JAY-Z - Ni**as In Paris,1441415243,638988
Zara Larsson - Lush Life,1439198832,1213032
Marshmello - FRIENDS,1439154267,277439
Dynoro - In My Mind,1438552909,652071
XXXTENTACION - Look At Me!,1438241465,582466
Ariana Grande - positions,1437995422,594387
Kings of Leon - Sex on Fire,1437456210,1350752
Backstreet Boys - I Want It That Way,1437150323,1062846
"Snoop Dogg - Young, Wild & Free",1436028484,610480
Maroon 5 - She Will Be Loved,1435254989,758594
Kygo - It Ain't Me,1433659374,373735
Bruno Mars - 24K Magic,1432496765,858712
Black Eyed Peas - I Gotta Feeling,1432288432,1040480
Fifth Harmony - Work from Home,1431965209,311751
Ariana Grande - Side To Side,1431552570,433372
Dr. Dre - Still D.R.E.,1429767542,721992
Bad Bunny - Ojitos Lindos,1429085046,812546
Rihanna - Diamonds,1426712453,759188
Alessia Cara - Scars To Your Beautiful,1426542811,
The Walters - I Love You So,1425028976,1556870
Taylor Swift - Lover,1423745916,1165990
Billie Eilish - ocean eyes,1421624956,955257
Taylor Swift - Shake It Off,1415932310,735080
Jonas Brothers - Sucker,1415550531,433491
Gorillaz - Feel Good Inc.,1414837264,874229
Red Hot Chili Peppers - Californication,1414641958,1055407
"gnash - i hate u, i love u",1408253102,256130
Kanye West - Stronger,1406819217,563855
Coldplay - Hymn for the Weekend,1405895874,1105662
Rihanna - Work,1403245761,430458
Avicii - Waiting For Love,1403040407,572311
Carly Rae Jepsen - Call Me Maybe,1402487188,1003436
Bad Bunny - Yonaguni,1402156783,363663
Metallica - Enter Sandman (Remastered),1400575625,1025457
Rema - Calm Down,1400545821,1006250
Travis Scott - BUTTERFLY EFFECT,1398088865,1205025
Ed Sheeran - Beautiful People,1396702080,265050
Red Hot Chili Peppers - Under the Bridge,1395176689,679461
Drake - In My Feelings,1391538750,197962
Bebe Rexha - Meant to Be,1384758497,312679
Pharrell Williams - Happy,1383964675,484571
Ariana Grande - Into You,1374055674,625165
Daniel Caesar - Best Part,1373113201,1002678
Maroon 5 - Animals,1371976103,724854
Jhayco - No Me Conoce,1371795978,511108
Khalid - Location,1371722056,265045
XXXTENTACION - Revenge,1369947597,1224193
Creedence Clearwater Revival - Fortunate Son,1369932226,1352407
Bruno Mars - Talking to the Moon,1369891147,864376
XXXTENTACION - changes,1368962604,277618
R.E.M. - Losing My Religion,1367049509,808227
Eurythmics - Sweet Dreams (Are Made of This),1366903067,1254640
Lil Tecca - Ransom,1363232724,751372
Tyga - Taste,1361174956,384106
Selena Gomez - Wolves,1361026606,291783
Khalid - Better,1360631208,539998
System Of A Down - Chop Suey!,1359599698,1335174
Marvin Gaye - Ain't No Mountain High Enough,1358827737,798130
MKTO - Classic,1358088040,903218
Daddy Yankee - Con Calma,1357060532,515057
Shawn Mendes - Mercy,1355479301,458520
Regard - Ride It,1355421539,739842
Unknown - Ain't No Mountain High Enough,1353432049,756950
Sam Smith - Dancing With A Stranger,1353297238,475907
Axwell /\ Ingrosso - More Than You Know,1351209148,595470
Kendrick Lamar - LOVE. FEAT. ZACARI.,1350737479,815030
Outkast - Hey Ya!,1348512758,1015898
Miguel - Sure Thing,1348309968,1392747
Rauw Alejandro - Todo De Ti,1347662990,841190
Metro Boomin - Creepin',1345854573,898661
Ed Sheeran - Castle on the Hill,1343554083,366225
Jessie J - Bang Bang,1340097994,489438
Drake - Hotline Bling,1338295133,319749
Ariana Grande - no tears left to cry,1334087921,272881
Logic - 1-800-273-8255,1333962584,198305
Clean Bandit - Rather Be,1333523688,782065
Cardi B - WAP,1329301137,434045
Billie Eilish - Happier Than Ever,1328436364,688824
Snow Patrol - Chasing Cars,1325949683,643648
Steve Lacy - Dark Red,1325127561,1145208
Kanye West - Heartless,1324861643,1097175
Ed Sheeran - Happier,1324798765,236329
Gym Class Heroes - Stereo Hearts,1323954926,625192
ZAYN - PILLOWTALK,1323452293,367132
Internet Money - Lemonade,1323216435,311033
The Beatles - Here Comes The Sun,1322848535,1154847
Bad Bunny - MIA,1321247318,349174
ABBA - Dancing Queen,1320746608,1200557
Rihanna - Stay,1319782042,703841
Bruno Mars - Grenade,1319647799,749942
Bruno Mars - Leave The Door Open,1318269070,720720
Cigarettes After Sex - Apocalypse,1317562037,1328379
USHER - Yeah!,1317321060,1196057
Taylor Swift - cardigan,1316764622,1061452
Ed Sheeran - Galway Girl,1314658454,334415
Frank Ocean - Pink + White,1313023783,1514396
P!nk - Just Give Me a Reason,1311045572,1123851
Juice WRLD - Robbery,1309556968,347955
Portugal. The Man - Feel It Still,1307387036,452567
Lynyrd Skynyrd - Sweet Home Alabama,1306711636,571432
Bad Bunny - Efecto,1300091422,663988
Queen - We Will Rock You,1298817730,865465
Lil Mosey - Blueberry Faygo,1298325220,309535
Coldplay - Paradise,1298261845,753812
Major Lazer - Light It Up,1297850946,570925
Nirvana - Come As You Are,1296551175,
Joji - SLOW DANCING IN THE DARK,1295361526,472637
Sia - Unstoppable,1295255242,1103456
Maluma - Hawái,1294867977,669418
Lady Gaga - Poker Face,1294225138,1045937
Unknown - Time Of Our Lives,1293619029,1236838
Pitbull - Time of Our Lives,1293619029,1236838
Capital Cities - Safe And Sound,1292027815,709898
Survivor - Eye of the Tiger,1290865390,680215
Bryson Tiller - Don't,1289871527,861754
J. Cole - MIDDLE CHILD,1289509582,448357
Adele - When We Were Young,1288185309,459572
"G-Eazy - Me, Myself & I",1286729583,648803
One Direction - Story of My Life,1282789928,868393
The Lumineers - Ophelia,1280012706,609441
Drake - Nice For What,1279775276,319681
The Lumineers - Ho Hey,1279236881,587104
Tate McRae - greedy,1278637908,2162177
Lady Gaga - Always Remember Us This Way,1277022295,879497
Coldplay - My Universe,1275807837,700098
Britney Spears - Toxic,1275609578,1293835
One Direction - What Makes You Beautiful,1274789358,1088451
Joji - Glimpse of Us,1268788125,734224
blackbear - hot girl bummer,1267270644,263052
Post Malone - Goodbyes,1267067524,350888
Lana Del Rey - Young And Beautiful,1266653843,1167667
Imagine Dragons - Whatever It Takes,1263562781,722393
BTS - Butter,1261044315,344777
DJ Khaled - I'm the One,1259567175,268922
Chris Brown - Under The Influence,1259198305,1101659
Martin Garrix - Scared to Be Lonely,1258734474,457005
Masked Wolf - Astronaut In The Ocean,1254238561,295228
A$AP Rocky - Praise The Lord (Da Shine),1253180423,867791
J. Cole - Wet Dreamz,1250010830,579768
Future - Life Is Good,1240493897,265428
Imagine Dragons - Bones,1238366483,1115195
Lady Gaga - Bad Romance,1236395191,855916
Lorde - Royals,1236113759,415961
Calum Scott - Dancing On My Own,1236039414,405411
Lost Frequencies - Where Are You Now,1233607024,1167260
Macklemore & Ryan Lewis - Thrift Shop,1233197098,676302
Imagine Dragons - Natural,1233195240,536937
Unknown - Thrift Shop,1231216301,615892
Harry Styles - Falling,1230631931,460370
Zedd - Stay,1226568053,285795
Selena Gomez - Lose You To Love Me,1225568759,368302
Robin Schulz - Sugar,1224597594,444583
Kate Bush - Running Up That Hill (A Deal With God),1222917669,562528
Taylor Swift - Style,1222466693,585611
Eslabon Armado - Ella Baila Sola,1222375478,804961
Whitney Houston - I Wanna Dance with Somebody (Who Loves Me),1220274316,971395
Julia Michaels - Issues,1217235409,267331
Kesha - TiK ToK,1214329088,1258740
The Cranberries - Zombie,1211919011,863744
Red Hot Chili Peppers - Can't Stop,1211541558,814495
Bryan Adams - Summer Of '69,1211328380,869449
Maroon 5 - What Lovers Do,1209779968,427680
"The Rolling Stones - Paint It, Black",1206087387,1118809
The Fray - How to Save a Life,1204282349,658681
Dua Lipa - Break My Heart,1202987967,544206
Dire Straits - Sultans Of Swing,1202241162,734206
Doja Cat - Say So,1201794471,286128
Nelly Furtado - Promiscuous,1201745866,901831
Beyoncé - Crazy In Love,1201520394,1031896
Lil Peep - Star Shopping,1201347343,760559
Joel Corry - Head & Heart,1201046843,560628
James Bay - Let It Go,1200131989,256633
Tiësto - The Business,1195625348,493982
LISA - MONEY,1195249277,645589
KAROL G - PROVENZA,1194008952,837280
Meek Mill - Going Bad,1193551718,422854
Hailee Steinfeld - Starving,1192730431,194065
Loud Luxury - Body,1192327971,501601
The Chainsmokers - Paris,1190873220,260043
Jimin - Like Crazy,1190767653,2592159
Duncan Laurence - Arcade,1189708097,558683
Fall Out Boy - Centuries,1189479108,547723
Guns N' Roses - Welcome To The Jungle,1188538640,718228
Fetty Wap - Trap Queen,1185954042,
Foo Fighters - Everlong,1183251930,1208175
Desiigner - Panda,1182694386,155598
Doja Cat - Need to Know,1181237605,362830
Justin Bieber - Intentions,1180773348,338594
Anuel AA - China,1180660185,309525
Nio Garcia - Te Boté,1179302488,265570
Pitbull - Give Me Everything,1176801171,1610535
DJ Khaled - Wild Thoughts,1170578421,715666
Sean Paul - No Lie,1168929077,731488
BTS - Boy With Luv (Feat. Halsey),1168768077,319017
Metallica - Nothing Else Matters (Remastered),1168263266,648386
Cyndi Lauper - Girls Just Want to Have Fun,1165166860,1157970
Calvin Harris - How Deep Is Your Love,1164622206,976978
Giveon - Heartbreak Anniversary,1163946477,846440
Lil Peep - Falling Down,1161950315,664269
Kendrick Lamar - DNA.,1161811888,576850
Katy Perry - Roar,1160983197,541730
AC/DC - You Shook Me All Night Long,1159132468,1385828
Kali Uchis - telepatía,1158803197,874386
Demi Lovato - Sorry Not Sorry,1158324728,213364
Taylor Swift - Look What You Made Me Do,1157426985,563703
Pedro Capó - Calma,1155808066,242954
Kanye West - Gold Digger,1153741389,654549
21 Savage - Bank Account,1152882802,223956
Katy Perry - Last Friday Night (T.G.I.F.),1152778720,948115
George Ezra - Budapest,1150184569,931743
JP Saxe - If the World Was Ending,1149016887,389589
d4vd - Romantic Homicide,1148828197,1303972
Jonas Blue - Fast Car,1148626486,315510
fun. - We Are Young,1148040025,540974
The Notorious B.I.G. - Hypnotize,1147659425,643034
Kodaline - All I Want,1142256276,411848
Papa Roach - Last Resort,1141435353,666524
Olivia Rodrigo - happier,1141078643,814305
David Kushner - Daylight,1139672789,1381786
Lewis Capaldi - Bruises,1139577168,448060
Calvin Harris - Outside,1139085104,1200239
Aerosmith - Dream On,1139017504,740950
Evanescence - Bring Me To Life,1138091830,977483
Rihanna - FourFiveSeconds,1137801862,351905
Post Malone - White Iverson,1137635746,282377
JVKE - golden hour,1134300987,803152
Lil Wayne - Sucker for Pain,1134135255,334766
Ice Cube - It Was A Good Day,1133462530,779830
Nicki Minaj - Starships,1132287513,819284
Michael Jackson - Beat It,1131846080,622111
GAYLE - abcdefu,1131108446,283124
Topic - Breaking Me,1130677517,246432
One Direction - Drag Me Down,1130564408,592137
Pop Smoke - What You Know Bout Love,1129387689,456531
Taylor Swift - Don’t Blame Me,1128340401,974795
Rudimental - These Days,1128189840,539681
Ariana Grande - Dangerous Woman,1126618383,706881
Eminem - Stan,1126359741,654470
Ali Gatie - It's You,1126168060,333982
Kungs - This Girl (Kungs Vs. Cookin' On 3 Burners),1126085359,641197
Ariana Grande - Stuck with U,1124016595,418612
Calvin Harris - Feels,1123234152,321962
Pop Smoke - For The Night,1121758247,282476
Drake - Nonstop,1121070880,266685
Jawsh 685 - Savage Love (Laxed,1119809484,214049
Fleetwood Mac - The Chain,1118770153,622605
Jason Derulo - Swalla,1118463263,229754
blink-182 - All The Small Things,1117879611,999327
SZA - Good Days,1115681000,1061064
Bon Jovi - You Give Love A Bad Name,1114441309,840425
Bad Bunny - Moscow Mule,1114418178,732362
Lil Baby - Yes Indeed,1114333951,379288
Adele - Make You Feel My Love,1110935575,402138
Elley Duhé - MIDDLE OF THE NIGHT,1110223001,694758
Taylor Swift - august,1110006674,967196
Kanye West - Father Stretch My Hands Pt. 1,1109944022,926995
Kygo - Firestone,1108857711,294380
"Elton John - Rocket Man (I Think It's Going To Be A Long, Long Time)",1108094955,628164
Beach House - Space Song,1106818755,856493
Jay Wheeler - La Curiosidad,1105814218,819535
Ben E. King - Stand By Me,1104183903,725329
Jack Ü - Where Are Ü Now,1102679827,239596
Smash Mouth - All Star,1097939866,612386
Surf Curse - Freaks,1097294172,819165
Spice Girls - Wannabe,1097286417,576996
Hailee Steinfeld - Let Me Go,1096919313,203585
KALEO - Way down We Go,1096822457,1151990
Maroon 5 - This Love,1095895600,941466
Rihanna - Only Girl (In The World),1094802560,1091112
Steve Lacy - Bad Habit,1094403778,771373
Billie Eilish - idontwannabeyouanymore,1094326943,355626
Swedish House Mafia - Don't You Worry Child,1094208294,744142
BØRNS - Electric Love,1093345988,500811
Gnarls Barkley - Crazy,1092700099,574008
Daft Punk - Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],1092563753,685021
Black Sabbath - Paranoid (2009,1090486482,828093
Elton John - I'm Still Standing,1089358438,1042240
Plain White T's - Hey There Delilah,1088232726,387676
M83 - Midnight City,1086623856,635098
WILLOW - Wait a Minute!,1085414782,483758
Eminem - Rap God,1080027119,335255
Guns N' Roses - Paradise City,1078983398,551729
Lilly Wood and The Prick - Prayer in C,1078594675,456430
Kanye West - Flashing Lights,1078574676,885146
Doja Cat - Paint The Town Red,1078086281,1457479
Avicii - Without You,1077650675,
Outkast - Ms. Jackson,1077159671,873416
Taio Cruz - Dynamite,1075860228,583607
Green Day - Basket Case,1075652813,683394
TLC - No Scrubs,1075243761,978269
Kodak Black - ZEZE,1074235329,395343
Red Hot Chili Peppers - Snow (Hey Oh),1074049799,419834
Pop Smoke - Dior,1073960401,419552
Flo Rida - My House,1072752747,334478
Van Morrison - Brown Eyed Girl,1072671925,1235449
Katy Perry - Firework,1070904775,653637
DJ Snake - Middle,1070368343,261940
Lady Gaga - Just Dance,1069666362,859840
Lost Frequencies - Are You With Me,1069525135,621868
Selena Gomez - Back To You,1068102579,260029
Ariana Grande - God is a woman,1067191636,263295
Adele - Send My Love (To Your New Lover),1067003482,271705
A Great Big World - Say Something,1066618980,223612
Olivia Rodrigo - favorite crime,1066271904,849906
Lil Nas X - THATS WHAT I WANT,1065317104,321992
Frank Ocean - Lost,1064978568,763784
The Weeknd - Stargirl Interlude,1064757469,1075722
Jaymes Young - Infinity,1064599574,530985
"Dan + Shay - 10,000 Hours",1063652754,317505
Lady Gaga - Rain On Me,1063115253,317811
Meghan Trainor - Like I'm Gonna Lose You,1062846085,284259
Flo Rida - Low,1062338139,622489
Doja Cat - Streets,1061722096,544747
Drake - Toosie Slide,1060906091,186776
